Date,Symbol,Action,Price,Shares,Transaction Amount,Gain/Loss,Balance
2021-01-05 00:00:00,FNGU,Buy,286.47,349.00,99978.03,0.00,21.97
2021-01-06 00:00:00,FNGU,Sell,263.90,349.00,92101.10,-7876.93,92123.07
2021-01-08 00:00:00,FNGU,Buy,309.10,298.00,92111.80,0.00,11.27
2021-01-15 00:00:00,FNGU,Sell,273.81,298.00,81595.38,-3319.72,81606.64
2021-01-19 00:00:00,FNGU,Buy,292.55,278.00,81328.90,0.00,277.75
2021-02-23 00:00:00,FNGU,Sell,379.60,278.00,105528.80,-417.00,105806.55
2021-03-23 00:00:00,FNGU,Buy,301.80,350.00,105630.00,0.00,176.55
2021-03-24 00:00:00,FNGU,Sell,271.90,350.00,95165.00,-10465.00,95341.55
2021-04-01 00:00:00,FNGU,Buy,292.70,325.00,95127.50,0.00,214.05
2021-04-23 00:00:00,FNGU,Sell,332.80,325.00,108160.00,5362.50,108374.04
2021-04-26 00:00:00,FNGU,Buy,338.70,319.00,108045.30,0.00,328.74
2021-04-27 00:00:00,FNGU,Sell,331.80,319.00,105844.20,-2201.11,106172.94
2021-05-24 00:00:00,FNGU,Buy,281.70,376.00,105919.20,0.00,253.73
2021-07-09 00:00:00,FNGU,Sell,375.30,376.00,141112.80,5452.00,141366.53
2021-08-25 00:00:00,FNGU,Buy,363.20,389.00,141284.80,0.00,81.72
2021-09-14 00:00:00,FNGU,Sell,372.70,389.00,144980.30,-2411.79,145062.03
2021-10-08 00:00:00,FNGU,Buy,359.00,404.00,145036.00,0.00,26.03
2021-11-10 00:00:00,FNGU,Sell,441.10,404.00,178204.40,-5252.00,178230.43
2021-12-27 00:00:00,FNGU,Buy,393.50,452.00,177862.00,0.00,368.43
2022-01-07 00:00:00,FNGU,Sell,342.40,452.00,154764.80,-3028.41,155133.23
2022-01-12 00:00:00,FNGU,Buy,372.70,416.00,155043.21,0.00,90.02
2022-01-13 00:00:00,FNGU,Sell,333.20,416.00,138611.21,-16432.00,138701.23
2022-02-02 00:00:00,FNGU,Buy,290.70,477.00,138663.91,0.00,37.32
2022-02-22 00:00:00,FNGU,Sell,204.20,477.00,97403.40,-7679.70,97440.72
2022-03-01 00:00:00,FNGU,Buy,211.60,460.00,97336.00,0.00,104.72
2022-03-07 00:00:00,FNGU,Sell,165.10,460.00,75946.00,-10626.00,76050.72
2022-03-16 00:00:00,FNGU,Buy,189.20,401.00,75869.20,0.00,181.52
2022-04-08 00:00:00,FNGU,Sell,194.30,401.00,77914.30,-4531.30,78095.82
2022-05-17 00:00:00,FNGU,Buy,96.30,810.00,78003.00,0.00,92.82
2022-06-16 00:00:00,FNGU,Sell,69.50,810.00,56295.00,-9477.00,56387.82
2022-06-22 00:00:00,FNGU,Buy,78.10,721.00,56310.10,0.00,77.72
2022-08-19 00:00:00,FNGU,Sell,104.20,721.00,75128.20,-5191.20,75205.92
2022-10-05 00:00:00,FNGU,Buy,66.00,1139.00,75174.00,0.00,31.92
2022-10-10 00:00:00,FNGU,Sell,54.40,1139.00,61961.60,-2278.00,61993.52
2022-10-18 00:00:00,FNGU,Buy,53.70,1154.00,61969.80,0.00,23.72
2022-11-02 00:00:00,FNGU,Sell,39.92,1154.00,46067.68,-5619.98,46091.40
2022-11-10 00:00:00,FNGU,Buy,47.70,966.00,46078.20,0.00,13.20
2022-12-15 00:00:00,FNGU,Sell,51.22,966.00,49478.52,-7814.94,49491.72
2023-01-10 00:00:00,FNGU,Buy,47.00,1053.00,49491.00,0.00,0.72
2023-02-16 00:00:00,FNGU,Sell,80.20,1053.00,84450.60,-10224.64,84451.31
2023-03-16 00:00:00,FNGU,Buy,87.01,970.00,84399.70,0.00,51.61
2023-04-11 00:00:00,FNGU,Sell,92.78,970.00,89996.60,-4025.50,90048.21
2023-05-05 00:00:00,FNGU,Buy,99.23,907.00,90001.61,0.00,46.60
2023-06-22 00:00:00,FNGU,Sell,186.79,907.00,169418.52,7119.94,169465.12
2023-07-14 00:00:00,FNGU,Buy,206.73,819.00,169311.87,0.00,153.26
2023-07-20 00:00:00,FNGU,Sell,190.22,819.00,155790.18,-25233.39,155943.44
2023-08-29 00:00:00,FNGU,Buy,179.00,871.00,155909.00,0.00,34.44
2023-09-18 00:00:00,FNGU,Sell,171.91,871.00,149733.61,-1341.33,149768.05
2023-10-06 00:00:00,FNGU,Buy,165.35,905.00,149641.76,0.00,126.29
2023-10-20 00:00:00,FNGU,Sell,145.34,905.00,131532.70,-7964.00,131658.99
2023-11-02 00:00:00,FNGU,Buy,154.68,851.00,131632.67,0.00,26.32
2023-12-01 00:00:00,FNGU,Sell,197.60,851.00,168157.61,-2067.92,168183.92
2023-12-13 00:00:00,FNGU,Buy,219.29,766.00,167976.13,0.00,207.79
2024-01-02 00:00:00,FNGU,Sell,216.56,766.00,165884.96,-12508.78,166092.75
2024-01-19 00:00:00,FNGU,Buy,251.69,659.00,165863.71,0.00,229.03
2024-02-20 00:00:00,FNGU,Sell,299.60,659.00,197436.40,-11400.69,197665.44
2024-02-27 00:00:00,FNGU,Buy,338.46,584.00,197660.64,0.00,4.80
2024-02-28 00:00:00,FNGU,Sell,330.80,584.00,193187.19,-4473.44,193192.00
2024-03-22 00:00:00,FNGU,Buy,339.47,569.00,193158.43,0.00,33.57
2024-03-28 00:00:00,FNGU,Sell,327.00,569.00,186063.00,-2480.83,186096.57
2024-04-11 00:00:00,FNGU,Buy,352.69,527.00,185867.63,0.00,228.93
2024-04-15 00:00:00,FNGU,Sell,310.40,527.00,163580.80,-13875.92,163809.73
2024-05-02 00:00:00,FNGU,Buy,299.94,546.00,163767.24,0.00,42.49
2024-05-31 00:00:00,FNGU,Sell,343.04,546.00,187299.84,-4853.93,187342.33
2024-06-07 00:00:00,FNGU,Buy,372.54,502.00,187015.08,0.00,327.25
2024-07-15 00:00:00,FNGU,Sell,503.82,502.00,252917.64,2018.05,253244.89
2024-08-14 00:00:00,FNGU,Buy,375.95,673.00,253014.36,0.00,230.54
2024-09-03 00:00:00,FNGU,Sell,346.63,673.00,233281.99,-27579.53,233512.53
2024-09-12 00:00:00,FNGU,Buy,388.31,601.00,233374.31,0.00,138.22
2024-10-24 00:00:00,FNGU,Sell,443.68,601.00,266651.68,6941.54,266789.90
2024-10-29 00:00:00,FNGU,Buy,471.52,565.00,266408.79,0.00,381.10
2024-10-31 00:00:00,FNGU,Sell,423.60,565.00,239334.00,-26216.00,239715.11
2024-11-07 00:00:00,FNGU,Buy,523.20,458.00,239625.61,0.00,89.50
2024-11-18 00:00:00,FNGU,Sell,485.56,458.00,222386.48,3645.68,222475.98
122475.98,222475.98,122.48,31.37,,,,
